No,Group,Family,Name_S,Name_C,Endemic,Alien,西元年,Month,Date,Time,Region,X坐標,Y坐標,數量
639,爬蟲類,澤龜科,Trachemys scripta elegans,紅耳泥龜,,外來種,2015,2,25,,淡水河,299429.6,2769897.51,5
643,爬蟲類,壁虎科,Hemidactylus frenatus,疣尾蝎虎,,,2015,2,25,,淡水河,301273.74,2774467.29,1
644,爬蟲類,壁虎科,Hemidactylus bowringii,無疣蝎虎,,,2015,2,25,,淡水河,301282.27,2774433.48,1
645,爬蟲類,壁虎科,Hemidactylus frenatus,疣尾蝎虎,,,2015,2,25,,淡水河,301293.57,2774408.91,1
656,爬蟲類,澤龜科,Trachemys scripta elegans,紅耳泥龜,,外來種,2015,3,19,,淡水河,299312,2769862,1
658,爬蟲類,地龜科,Ocadia sinensis,斑龜,,,2015,3,19,,淡水河,299468,2769905,2
659,爬蟲類,澤龜科,Trachemys scripta elegans,紅耳泥龜,,外來種,2015,3,19,,淡水河,299510,2769865,6
662,爬蟲類,澤龜科,Trachemys scripta elegans,紅耳泥龜,,外來種,2015,3,19,,淡水河,300197,2770345,1
663,爬蟲類,地龜科,Ocadia sinensis,斑龜,,,2015,3,19,,淡水河,300198,2770345,1
664,爬蟲類,澤龜科,Trachemys scripta elegans,紅耳泥龜,,外來種,2015,3,19,,淡水河,300303,2770499,2
665,爬蟲類,地龜科,Ocadia sinensis,斑龜,,,2015,3,19,,淡水河,300870,2771265,1
666,爬蟲類,澤龜科,Trachemys scripta elegans,紅耳泥龜,,外來種,2015,3,19,,淡水河,300870,2771265,2
667,爬蟲類,地龜科,Ocadia sinensis,斑龜,,,2015,3,19,,淡水河,300944,2771536,2
668,爬蟲類,澤龜科,Trachemys scripta elegans,紅耳泥龜,,外來種,2015,3,19,,淡水河,300944,2771536,1
669,爬蟲類,澤龜科,Trachemys scripta elegans,紅耳泥龜,,外來種,2015,3,19,,淡水河,301240,2772265,5
670,爬蟲類,地龜科,Ocadia sinensis,斑龜,,,2015,3,19,,淡水河,301240,2772265,1
671,爬蟲類,壁虎科,Hemidactylus frenatus,疣尾蝎虎,,,2015,3,19,,淡水河,301320,2773168,1
672,爬蟲類,壁虎科,Gekko hokouensis,鉛山壁虎,,,2015,3,20,,關渡水岸公園,296631,2778948,1
673,爬蟲類,壁虎科,Gekko hokouensis,鉛山壁虎,,,2015,3,20,,關渡水岸公園,296617,2779024,1
674,爬蟲類,壁虎科,Gekko hokouensis,鉛山壁虎,,,2015,3,20,,關渡水岸公園,296607,2779074,1
675,爬蟲類,壁虎科,Gekko hokouensis,鉛山壁虎,,,2015,3,20,,關渡水岸公園,296604,2779096,1
676,爬蟲類,壁虎科,Gekko hokouensis,鉛山壁虎,,,2015,3,20,,關渡水岸公園,296604,2779096,1
677,爬蟲類,壁虎科,Gekko hokouensis,鉛山壁虎,,,2015,3,20,,關渡水岸公園,296603,2779113,1
678,爬蟲類,壁虎科,Gekko hokouensis,鉛山壁虎,,,2015,3,20,,關渡水岸公園,296598,2779135,1
679,爬蟲類,壁虎科,Gekko hokouensis,鉛山壁虎,,,2015,3,20,,關渡水岸公園,296588,2779432,1
680,爬蟲類,壁虎科,Gekko hokouensis,鉛山壁虎,,,2015,3,20,,關渡水岸公園,296600,2779395,1
682,爬蟲類,壁虎科,Gekko hokouensis,鉛山壁虎,,,2015,3,20,,關渡水岸公園,296614,2779325,1
684,爬蟲類,澤龜科,Trachemys scripta elegans,紅耳泥龜,,外來種,2015,3,30,,新店溪,303797.97,2766787.92,1
764,爬蟲類,澤龜科,Trachemys scripta elegans,紅耳泥龜,,外來種,2015,3,30,,新店溪,300335.95,2767362.42,1
790,爬蟲類,澤龜科,Trachemys scripta elegans,紅耳泥龜,,外來種,2015,3,30,,新店溪,301938.75,2768340.7,1
796,爬蟲類,地龜科,Ocadia sinensis,斑龜,,,2015,3,30,,新店溪,299099.51,2769708.63,1
805,爬蟲類,壁虎科,Hemidactylus frenatus,疣尾蝎虎,,,2015,3,31,,新店溪,302171.74,2768261.59,5
806,爬蟲類,壁虎科,Hemidactylus frenatus,疣尾蝎虎,,,2015,3,31,,新店溪,302188.56,2768261.65,2
807,爬蟲類,壁虎科,Hemidactylus frenatus,疣尾蝎虎,,,2015,3,31,,新店溪,302227.86,2768249.5,2
808,爬蟲類,壁虎科,Hemidactylus frenatus,疣尾蝎虎,,,2015,3,31,,新店溪,302244.7,2768243.41,2
809,爬蟲類,壁虎科,Hemidactylus frenatus,疣尾蝎虎,,,2015,3,31,,新店溪,302264.36,2768234.25,1
810,爬蟲類,壁虎科,Hemidactylus bowringii,無疣蝎虎,,,2015,3,31,,新店溪,302286.82,2768225.11,1
811,爬蟲類,壁虎科,Gekko hokouensis,鉛山壁虎,,,2015,3,31,,新店溪,302286.82,2768225.11,1
812,爬蟲類,壁虎科,Gekko hokouensis,鉛山壁虎,,,2015,3,31,,新店溪,302303.66,2768222.09,2
813,爬蟲類,壁虎科,Hemidactylus bowringii,無疣蝎虎,,,2015,3,31,,新店溪,302303.66,2768222.09,5
814,爬蟲類,壁虎科,Hemidactylus frenatus,疣尾蝎虎,,,2015,3,31,,新店溪,302303.66,2768222.09,3
827,爬蟲類,飛蜥科,Japalura swinhonis,斯文豪氏攀蜥,特有種,,2015,3,31,,新店溪,302978.45,2767720.09,1
828,爬蟲類,飛蜥科,Japalura swinhonis,斯文豪氏攀蜥,特有種,,2015,3,31,,新店溪,302882.6,2767855.1,1
843,爬蟲類,壁虎科,Gekko hokouensis,鉛山壁虎,,,2015,3,31,,淡水河,299973,2770206,1
846,爬蟲類,澤龜科,Trachemys scripta elegans,紅耳泥龜,,外來種,2015,3,31,,淡水河,299502,2769859,6
848,爬蟲類,壁虎科,Gekko hokouensis,鉛山壁虎,,,2015,3,31,,淡水河,299559,2770031,1
849,爬蟲類,壁虎科,Gekko hokouensis,鉛山壁虎,,,2015,3,31,,淡水河,299563,2770046,2
850,爬蟲類,壁虎科,Gekko hokouensis,鉛山壁虎,,,2015,3,31,,淡水河,299546,2770051,1
852,爬蟲類,壁虎科,Gekko hokouensis,鉛山壁虎,,,2015,3,31,,淡水河,299540,2770052,1
853,爬蟲類,壁虎科,Gekko hokouensis,鉛山壁虎,,,2015,3,31,,淡水河,300286,2770424,1
854,爬蟲類,飛蜥科,Japalura swinhonis,斯文豪氏攀蜥,特有種,,2015,4,23,,新店溪,303874,2766739,1
855,爬蟲類,飛蜥科,Japalura swinhonis,斯文豪氏攀蜥,特有種,,2015,4,23,,新店溪,303874,2766739,1
856,爬蟲類,地龜科,Ocadia sinensis,斑龜,,,2015,4,23,,新店溪,303750,2766786,1
857,爬蟲類,澤龜科,Trachemys scripta elegans,紅耳泥龜,,外來種,2015,4,23,,新店溪,303750,2766786,1
858,爬蟲類,黃頷蛇科,Elaphe carinata,臭青公,,,2015,4,23,,新店溪,303731,2766805,1
859,爬蟲類,澤龜科,Trachemys scripta elegans,紅耳泥龜,,外來種,2015,4,23,,新店溪,303731,2766805,2
860,爬蟲類,澤龜科,Trachemys scripta elegans,紅耳泥龜,,外來種,2015,4,23,,新店溪,303737,2766821,3
861,爬蟲類,地龜科,Ocadia sinensis,斑龜,,,2015,4,23,,新店溪,303708,2766818,3
862,爬蟲類,地龜科,Ocadia sinensis,斑龜,,,2015,4,23,,新店溪,303483,2767036,3
863,爬蟲類,地龜科,Ocadia sinensis,斑龜,,,2015,4,23,,新店溪,301391,2768349,3
864,爬蟲類,澤龜科,Trachemys scripta elegans,紅耳泥龜,,外來種,2015,4,23,,新店溪,301207,2768249,3
865,爬蟲類,地龜科,Ocadia sinensis,斑龜,,,2015,4,23,,新店溪,301207,2768249,3
866,爬蟲類,澤龜科,Trachemys scripta elegans,紅耳泥龜,,外來種,2015,4,23,,新店溪,301224,2768236,2
867,爬蟲類,地龜科,Ocadia sinensis,斑龜,,,2015,4,23,,新店溪,301224,2768236,2
869,爬蟲類,澤龜科,Trachemys scripta elegans,紅耳泥龜,,外來種,2015,4,23,,新店溪,299081,2769469,7
883,爬蟲類,飛蜥科,Japalura swinhonis,斯文豪氏攀蜥,特有種,,2015,4,23,,新店溪,302758,2768015,1
884,爬蟲類,壁虎科,Hemidactylus bowringii,無疣蝎虎,,,2015,4,23,,新店溪,302304,2768199,4
885,爬蟲類,壁虎科,Hemidactylus frenatus,疣尾蝎虎,,,2015,4,23,,新店溪,302304,2768199,2
886,爬蟲類,壁虎科,Hemidactylus bowringii,無疣蝎虎,,,2015,4,23,,新店溪,302283,2768218,9
887,爬蟲類,壁虎科,Hemidactylus bowringii,無疣蝎虎,,,2015,4,23,,新店溪,302249,2768238,10
888,爬蟲類,壁虎科,Hemidactylus frenatus,疣尾蝎虎,,,2015,4,23,,新店溪,302249,2768238,2
890,爬蟲類,黃頷蛇科,Elaphe carinata,臭青公,,,2015,4,23,,新店溪,301972,2768498,1
891,爬蟲類,壁虎科,Gekko hokouensis,鉛山壁虎,,,2015,4,23,,新店溪,301538,2768424,1
915,爬蟲類,壁虎科,Gekko hokouensis,鉛山壁虎,,,2015,4,27,,關渡水岸公園,296685.52,2778838.41,1
916,爬蟲類,壁虎科,Gekko hokouensis,鉛山壁虎,,,2015,4,27,,關渡水岸公園,296674.23,2778862.99,1
917,爬蟲類,壁虎科,Gekko hokouensis,鉛山壁虎,,,2015,4,27,,關渡水岸公園,296651.62,2778921.37,1
918,爬蟲類,壁虎科,Gekko hokouensis,鉛山壁虎,,,2015,4,27,,關渡水岸公園,296643.2,2778927.5,1
919,爬蟲類,壁虎科,Gekko hokouensis,鉛山壁虎,,,2015,4,27,,關渡水岸公園,296640.33,2778945.95,1
920,爬蟲類,壁虎科,Gekko hokouensis,鉛山壁虎,,,2015,4,27,,關渡水岸公園,296611.84,2779087.39,1
921,爬蟲類,壁虎科,Gekko hokouensis,鉛山壁虎,,,2015,4,27,,關渡水岸公園,296600.36,2779167.35,1
922,爬蟲類,壁虎科,Gekko hokouensis,鉛山壁虎,,,2015,4,27,,關渡水岸公園,296589.07,2779191.92,1
923,爬蟲類,壁虎科,Gekko hokouensis,鉛山壁虎,,,2015,4,27,,關渡水岸公園,296565.74,2779459.53,1
925,爬蟲類,蝙蝠蛇科,Naja atra,飯匙倩,,,2015,4,27,,關渡水岸公園,296613.66,2779373.54,1
926,爬蟲類,澤龜科,Trachemys scripta elegans,紅耳泥龜,,外來種,2015,4,28,,淡水河,299261.26,2769939.98,1
928,爬蟲類,澤龜科,Trachemys scripta elegans,紅耳泥龜,,外來種,2015,4,28,,淡水河,299426.77,2769903.65,8
929,爬蟲類,澤龜科,Trachemys scripta elegans,紅耳泥龜,,外來種,2015,4,28,,淡水河,299457.69,2769882.23,2
930,爬蟲類,澤龜科,Trachemys scripta elegans,紅耳泥龜,,外來種,2015,4,28,,淡水河,299460.41,2769903.77,4
931,爬蟲類,蝙蝠蛇科,Naja atra,飯匙倩,,,2015,4,28,,淡水河,301300.3,2774110.48,1
932,爬蟲類,地龜科,Ocadia sinensis,斑龜,,,2015,4,28,,淡水河,300793.04,2771108.64,1
